film_id,"title","release_date",release_week,"runtime",budget,revenue,profit,animation,adventure,action,comedy,crime,drama,fantasy,family,history,horror,music,mystery,romance,science fiction,thriller,war,western,"genres",hit,num_bankable_actor
11052,"Yu-Gi-Oh! The Movie","2004-08-13",32,"90.0",20000000,29170410,-5414795.0000,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",0,0
11058,"Godsend","2004-04-30",17,"102.",25000000,30114487,-9942756.5000,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",0,0
11059,"House of the Dead","2003-04-11",14,"90.0",7000000,13818181,-90909.5000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",0,0
11064,"Brewster's Millions","1985-05-22",20,"97.0",20000000,45833132,2916566.0000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}]",0,0
11066,"Boomerang","1992-06-30",26,"117.",40000000,70100000,-4950000.0000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",0,0
11072,"Blazing Saddles","1974-02-07",5,"93.0",2600000,119500000,57150000.0000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"[{'id': 37, 'name': 'Western'}, {'id': 35, 'name': 'Comedy'}]",1,0
11081,"Taking Lives","2004-03-19",11,"103.",45000000,65470529,-12264735.5000,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",0,0
11085,"Mutiny on the Bounty","1962-11-08",44,"178.",19000000,13680000,-12160000.0000,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",0,0
11086,"The Majestic","2001-12-21",50,"152.",72000000,37317558,-53341221.0000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0,1
11087,"The Hand that Rocks the Cradle","1992-01-10",1,"110.",11700000,88036683,32318341.5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 53, 'name': 'Thriller'}]",0,0
11090,"The Animal","2001-06-01",21,"84.0",22000000,84772742,20386371.0000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",0,1
